,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
0,599.0,3342.0,0.19729443156982288,2.161977150908646,0.4441783780980597,0.4441783780980597,7.5,228.27257809168685,132.94604574362882,0.0,
1,3342.0,3780.0,0.9791832902508796,1.5597475700724923,0.9895369069675368,0.9895369069675368,8.5,228.28764311658335,133.49039908573496,0.0,
2,524.0,302.0,0.4739043030494356,0.9767051322388717,0.6884070765538626,0.6884070765538626,3.5,228.7221311998978,134.46263134361726,0.0,
3,302.0,373.0,0.21810615837106206,3.097638460202474,0.46701837048563954,0.46701837048563954,4.5,228.75864797156126,134.5678692728911,0.0,
4,373.0,873.0,0.3752688511259684,0.6118170096515032,0.6125919123902701,0.6125919123902701,5.5,228.4909957824805,134.12763728265912,0.0,
5,300.0,524.0,17.81157250482004,3.094263128236891,4.220375872457338,4.220375872457338,2.5,226.6591718023023,133.40022493451275,0.0,
6,3780.0,3878.0,1.7314634066516907,2.233659455271246,1.3158508299392035,1.3158508299392035,9.5,227.77408162314325,133.3751565403277,0.0,
7,873.0,599.0,1.1586774720560729,0.6218654492785826,1.0764188181447187,1.0764188181447187,6.5,228.16877454377453,133.38761013761012,0.0,
8,512.0,300.0,15.654485943229247,0.305499257109274,3.956575026867208,3.956575026867208,1.5,226.5655945295682,133.2660957747668,0.0,
9,342.0,512.0,0.02280353092320048,,0.15100838030785074,0.15100838030785074,0.5,228.51443757522873,133.90346431256788,0.0,
10,2922.0,3073.0,0.25805609129721674,,0.5079922157840775,0.5079922157840775,0.5,178.82227004248426,576.7150194464821,0.0,
11,3682.0,4460.0,2.9694733979515746,0.3745081410090211,1.7232160044380898,1.7232160044380898,8.5,184.31359560949653,571.7875295031591,0.0,
12,2997.0,3265.0,3.2789936575082654,0.5161151454650319,1.810799176471059,1.810799176471059,5.5,181.9554874387324,574.3039830514836,0.0,
13,3141.0,2600.0,0.5714213759513361,0.3495650843640964,0.7559241866426395,0.7559241866426395,3.5,180.48518173666363,575.1409239811962,0.0,
14,2600.0,2997.0,0.2264278882943487,0.7625806834718628,0.47584439504353593,0.47584439504353593,4.5,180.97214609882195,574.8369989533269,0.0,
15,3041.0,3682.0,1.8942015370437915,1.0533809599086266,1.3762999444320962,1.3762999444320962,7.5,183.24177467876333,572.8695447302434,0.0,
16,4460.0,4527.0,2.1223998890987628,0.06138391308366378,1.4568458700558418,1.4568458700558418,9.5,185.19317844005826,570.4638345518335,0.0,
17,3073.0,3175.0,66.96086312406186,2.458666687648553,8.18296175746055,8.18296175746055,1.5,177.87407755479254,580.4956745632384,0.0,
18,3175.0,3141.0,93.30125962357928,3.0555789722422726,9.659257715972759,9.659257715972759,2.5,178.47583098108424,579.9222122041256,0.0,
19,3265.0,3041.0,0.2968539338829345,1.0331696391246925,0.5448430360048062,0.5448430360048062,6.5,182.6842879718674,573.5194893143462,0.0,
20,2931.0,3076.0,1.6847084783309598,,1.2979632037661777,1.2979632037661777,0.5,491.7483313271508,581.8004021543127,0.0,
21,3683.0,4463.0,2.229322571282875,1.7819445442100679,1.4930916151672928,1.4930916151672928,8.5,496.75085612062355,578.1963952068603,0.0,
22,3177.0,3143.0,137.07387709853015,3.0542124670533473,11.707855358626965,11.707855358626965,2.5,486.9405809371268,581.137218801585,0.0,
23,3076.0,3177.0,118.96235279915274,2.1223905218601358,10.90698642151684,10.90698642151684,1.5,486.6066047969197,581.6779632684777,0.0,
24,3002.0,3266.0,1.2451094748882223,1.8672018944540687,1.1158447360131347,1.1158447360131347,5.5,495.7592558210704,578.3461440738672,0.0,
25,3266.0,3045.0,2.4602856714045997,2.2491305469663083,1.5685297802096714,1.5685297802096714,6.5,496.3216170332247,578.0992333061238,0.0,
26,4463.0,4531.0,1.8127652959382918,0.2567256702079307,1.34638972661644,1.34638972661644,9.5,496.1572636020311,579.4732544587196,0.0,
27,3143.0,2606.0,1.4697813231074561,0.25300984654873954,1.2123453811135902,1.2123453811135902,3.5,493.26131387540914,579.8901069260253,0.0,
28,2606.0,3002.0,5.943891428083055,0.3932056440188181,2.4380097268228966,2.4380097268228966,4.5,494.6476344197479,578.7514204972828,0.0,
29,3045.0,3683.0,0.3284230336208287,1.5451018417519349,0.5730820478961356,0.5730820478961356,7.5,496.8758333130284,577.4655389326122,0.0,
30,16.0,1.0,10.48208681482896,2.755910766161386,3.2376051048311867,3.2376051048311867,2.5,245.4975245739961,42.8791531468719,0.0,
31,5.0,16.0,15.976201148888462,,3.997024036566263,3.997024036566263,1.5,246.04963505087795,42.31821234934094,0.0,
32,4130.0,4247.0,0.31516300618917165,1.6187286344196032,0.561393806689361,0.561393806689361,9.5,599.8538064628974,360.8767880828487,0.0,
33,2040.0,1512.0,1.7501867470791563,0.8656708196003372,1.3229462374107106,1.3229462374107106,3.5,594.0027511049534,364.6916452438728,0.0,
34,1847.0,3521.0,12.2917775518023,0.35700524205812073,3.505963141820276,3.505963141820276,7.5,595.5454891613124,362.39098408259144,0.0,
35,1512.0,1806.0,0.849870184222831,1.7010063453431872,0.9218840405511047,0.9218840405511047,4.5,593.3540740922863,365.0790136508795,0.0,
36,1806.0,2790.0,0.42587183055044536,2.494062677177642,0.6525885614615424,0.6525885614615424,5.5,593.275814105833,364.80902183499927,0.0,
