Frame,T,Ngrid,x_center,y_center,cell_number,number_density,mean_velocity_X,mean_velocity_Y,mean_area,interp_velocity_X,interp_velocity_Y
0.0,0.0,0.0,310.0,890.0,1.0,0.0025,0.001276279031511,0.0043729873376015,596.7816677470947,0.001276279031511,0.0043729873376015
0.0,0.0,1.0,330.0,890.0,1.0,0.0025,0.0001951643549985,0.0031010280331404,520.7316145120656,0.0001951643549985,0.0031010280331404
0.0,0.0,2.0,350.0,890.0,0.0,0.0,,,,-0.0018644512937852748,0.00307318977400888
0.0,0.0,3.0,370.0,890.0,0.0,0.0,,,,-0.0027776189614483636,0.002633034571320701
0.0,0.0,4.0,390.0,890.0,0.0,0.0,,,,-0.002795019924581084,0.002240566683119413
0.0,0.0,5.0,410.0,890.0,0.0,0.0,,,,-0.002167335459773757,0.0023557903674485633
0.0,0.0,6.0,430.0,890.0,1.0,0.0025,-0.0011452468436167,0.0034387098823517,938.1619067132214,-0.0011452468436167,0.0034387098823517
0.0,0.0,7.0,450.0,890.0,0.0,0.0,,,,-0.0008465546918705416,0.005282222705718326
0.0,0.0,8.0,470.0,890.0,1.0,0.0025,-0.0017579696170678,0.0055213749911043,369.2652584856356,-0.0017579696170678,0.0055213749911043
0.0,0.0,9.0,490.0,890.0,1.0,0.0025,-0.0019344318143262,0.0034099550862646,278.0051946036023,-0.0019344318143262,0.0034099550862646
0.0,0.0,10.0,510.0,890.0,1.0,0.0025,-0.0026937759200247,0.0026677245036685,341.3802389661248,-0.0026937759200247,0.0026677245036685
0.0,0.0,11.0,530.0,890.0,2.0,0.005,-0.0016428254386661998,0.0023417013542036,308.3195908236755,-0.0016428254386661998,0.0023417013542036
0.0,0.0,12.0,550.0,890.0,0.0,0.0,,,,-0.0012450749829302213,0.0018845178976668086
0.0,0.0,13.0,570.0,890.0,1.0,0.0025,-0.0022439132621115,0.0021514007944524,708.5329959730094,-0.0022439132621115,0.0021514007944524
0.0,0.0,14.0,590.0,890.0,0.0,0.0,,,,-0.003211239043283401,0.002647763120981364
0.0,0.0,15.0,610.0,890.0,1.0,0.0025,-0.0034195975502132,0.002014888959627,618.1179326824779,-0.0034195975502132,0.002014888959627
0.0,0.0,16.0,630.0,890.0,0.0,0.0,,,,-0.0032109710374145077,0.0019851934563712846
0.0,0.0,17.0,650.0,890.0,1.0,0.0025,-0.0036108882867033,0.003478776829817,579.2479054734617,-0.0036108882867033,0.003478776829817
0.0,0.0,18.0,670.0,890.0,1.0,0.0025,-0.0035493664263889,0.0039746408693546,688.0417316291283,-0.0035493664263889,0.0039746408693546
0.0,0.0,19.0,690.0,890.0,1.0,0.0025,-0.0028906835156196,0.0027273637407467,433.4853034396604,-0.0028906835156196,0.0027273637407467
0.0,0.0,20.0,710.0,890.0,1.0,0.0025,-0.0029878552996103,0.002388942824896,578.4029048819637,-0.0029878552996103,0.002388942824896
0.0,0.0,21.0,730.0,890.0,0.0,0.0,,,,-0.0024148225987693753,0.0020660004338666697
0.0,0.0,22.0,750.0,890.0,1.0,0.0025,-0.0029247640967428,0.0012824487455092,528.547869983445,-0.0029247640967428,0.0012824487455092
0.0,0.0,23.0,770.0,890.0,1.0,0.0025,-0.0039476376847264,-0.000182335923781,567.8403974882085,-0.0039476376847264,-0.000182335923781
0.0,0.0,24.0,790.0,890.0,1.0,0.0025,-0.0028190791552291,-0.0022884924010167,614.526680168602,-0.0028190791552291,-0.0022884924010167
0.0,0.0,25.0,810.0,890.0,2.0,0.005,-0.0024516050137344,0.00243161503821405,372.43401070376154,-0.0024516050137344,0.00243161503821405
0.0,0.0,26.0,830.0,890.0,0.0,0.0,,,,-0.0033669614762855387,0.003583510079779045
0.0,0.0,27.0,850.0,890.0,1.0,0.0025,-0.0042795335909995,0.0023921993847624,415.9515411660283,-0.0042795335909995,0.0023921993847624
0.0,0.0,28.0,870.0,890.0,1.0,0.0025,-0.0035819558186487,0.0028770580055334,594.246665972593,-0.0035819558186487,0.0028770580055334
0.0,0.0,29.0,890.0,890.0,0.0,0.0,,,,-0.003382629999988,0.0016638361411506
0.0,0.0,30.0,310.0,870.0,0.0,0.0,,,,0.006559172479533216,-0.001849649899148559
0.0,0.0,31.0,330.0,870.0,0.0,0.0,,,,0.0009544413694245331,0.0017108330158022544
0.0,0.0,32.0,350.0,870.0,1.0,0.0025,-0.0025340108833861,0.0042341696419796,496.4378475064322,-0.0025340108833861,0.0042341696419796
0.0,0.0,33.0,370.0,870.0,1.0,0.0025,-0.0017753059440543,0.0031055954369094,716.7717517401386,-0.0017753059440543,0.0031055954369094
0.0,0.0,34.0,390.0,870.0,1.0,0.0025,-0.0005545615861277,0.002655357683307,989.7069427947396,-0.0005545615861277,0.002655357683307
0.0,0.0,35.0,410.0,870.0,0.0,0.0,,,,-0.0013046204034363898,0.0015909921330056794
0.0,0.0,36.0,430.0,870.0,0.0,0.0,,,,-0.00026422022002853837,0.002857204015198416
0.0,0.0,37.0,450.0,870.0,1.0,0.0025,0.0002038559052836,0.0043032724347185,404.3327830328992,0.0002038559052836,0.0043032724347185
0.0,0.0,38.0,470.0,870.0,1.0,0.0025,-0.0027945345274124,0.0027247433037482,369.8990089292607,-0.0027945345274124,0.0027247433037482
0.0,0.0,39.0,490.0,870.0,1.0,0.0025,0.0041713720294318,0.0028729433434092,841.4093389864329,0.0041713720294318,0.0028729433434092
0.0,0.0,40.0,510.0,870.0,0.0,0.0,,,,-0.0037824119609887407,0.0033288780236339407
