Frame,T,Ngrid,x_center,y_center,cell_number,number_density,mean_velocity_X,mean_velocity_Y,mean_area
0.0,0.0,0.0,99.66611120652131,961.7971125750321,16.0,0.0016251538052197633,-0.0029753839708922323,0.0027341976069671157,616.322306425539
0.0,0.0,1.0,198.8892032876147,961.7971125750321,18.0,0.0018282980308722337,-0.0029364115591124815,0.0029593608075625224,490.5345794852567
0.0,0.0,2.0,298.11229536870803,961.7971125750321,18.0,0.0018282980308722337,-0.0027142017055853864,0.002054473578586258,440.36266936492575
0.0,0.0,3.0,397.33538744980143,961.7971125750321,18.0,0.0018282980308722337,-0.0028071337277728588,0.00202057832605123,596.5938898378719
0.0,0.0,4.0,496.5584795308948,961.7971125750321,21.0,0.0021330143693509395,-0.0024990013805039533,0.0018035340158990992,398.92075543495605
0.0,0.0,5.0,595.7815716119882,961.7971125750321,21.0,0.0021330143693509395,-0.0027996935115506523,0.0028197915199791694,510.8129170927889
0.0,0.0,6.0,695.0046636930816,961.7971125750321,18.0,0.0018282980308722337,-0.002423320844519817,0.0030551043230390503,546.2576740469714
0.0,0.0,7.0,794.227755774175,961.7971125750321,22.0,0.0022345864821771747,-0.0030344867787463047,0.0002693818512974895,452.51702130731405
0.0,0.0,8.0,893.4508478552683,961.7971125750321,18.0,0.0018282980308722337,-0.004864066871093857,0.003283800496712663,546.926632848576
0.0,0.0,9.0,992.6739399363616,961.7971125750321,23.0,0.00233615859500341,-0.00392219454616,0.0032287279378854605,457.7055921329888
0.0,0.0,10.0,1091.8970320174549,961.7971125750321,16.0,0.0016251538052197633,-0.0032097124063789418,0.001615694062461503,550.6499167048744
0.0,0.0,11.0,1191.1201240985483,961.7971125750321,17.0,0.0017267259180459985,-0.002770888827769377,0.0015310374560779502,502.58895475338295
0.0,0.0,12.0,99.66611120652131,862.5740204939387,16.0,0.0016251538052197633,-0.0019163919269604374,0.0022246835620401777,556.2348424893214
0.0,0.0,13.0,198.8892032876147,862.5740204939387,20.0,0.0020314422565247043,-0.002046865654331125,0.003528866179146665,519.3268010286971
0.0,0.0,14.0,298.11229536870803,862.5740204939387,19.0,0.001929870143698469,-0.0013783123868796418,0.00288555681229085,502.59745708131635
0.0,0.0,15.0,397.33538744980143,862.5740204939387,14.0,0.001422009579567293,-0.002586620996188338,0.0027065289211491176,705.1228150144556
0.0,0.0,16.0,496.5584795308948,862.5740204939387,24.0,0.002437730707829645,-0.002432764210945357,0.003223919904248603,420.4934193453419
0.0,0.0,17.0,595.7815716119882,862.5740204939387,19.0,0.001929870143698469,-0.0026928791045793808,0.0023558408259673584,513.5491094843137
0.0,0.0,18.0,695.0046636930816,862.5740204939387,17.0,0.0017267259180459985,-0.0035732786745220004,0.002956251865061929,528.1999285634147
0.0,0.0,19.0,794.227755774175,862.5740204939387,20.0,0.0020314422565247043,-0.003154285346055302,0.0021950758785307363,480.73139901192025
0.0,0.0,20.0,893.4508478552683,862.5740204939387,18.0,0.0018282980308722337,-0.004294747911892324,0.0027477382692232587,551.0577468514664
0.0,0.0,21.0,992.6739399363616,862.5740204939387,19.0,0.001929870143698469,-0.004285208647408654,0.003356475722460884,503.6092341053493
0.0,0.0,22.0,1091.8970320174549,862.5740204939387,19.0,0.001929870143698469,-0.003141565439835963,0.002716675569585256,533.6401103901171
0.0,0.0,23.0,1191.1201240985483,862.5740204939387,15.0,0.0015235816923935281,-0.0024740492913135517,0.0026383908749402227,614.4985134822172
0.0,0.0,24.0,99.66611120652131,763.3509284128454,21.0,0.0021330143693509395,-0.003312157909069615,0.0027645333412404612,458.8453807155197
0.0,0.0,25.0,198.8892032876147,763.3509284128454,24.0,0.002437730707829645,-0.002457040896560679,0.00225890013470914,403.55819915735657
0.0,0.0,26.0,298.11229536870803,763.3509284128454,19.0,0.001929870143698469,-0.002917319999628918,0.002298508590249633,539.5662329594549
0.0,0.0,27.0,397.33538744980143,763.3509284128454,28.0,0.002844019159134586,-0.0016084942972281328,0.002729701742683244,375.92718279183913
0.0,0.0,28.0,496.5584795308948,763.3509284128454,21.0,0.0021330143693509395,-0.003128748553440412,0.002571537299702567,447.88049208771804
0.0,0.0,29.0,595.7815716119882,763.3509284128454,22.0,0.0022345864821771747,-0.0018677607706266757,0.0037360770189535496,467.76544107211515
0.0,0.0,30.0,695.0046636930816,763.3509284128454,23.0,0.00233615859500341,-0.001961118709745503,0.0036765515259343366,429.5266593642611
0.0,0.0,31.0,794.227755774175,763.3509284128454,20.0,0.0020314422565247043,-0.0031430976661691286,0.0024903295930859405,450.33250273269675
0.0,0.0,32.0,893.4508478552683,763.3509284128454,17.0,0.0017267259180459985,-0.004331323179269493,0.0033082105674112163,564.5101010393545
