LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID5446 ? ID5441,0,5446,5441,0.17983039599087383,2.404143567619615,0.42406414136410286,0.42406414136410286,8.5,321.62171164596185,25.302279735978352,0.0,
ID2134 ? ID2051,0,2134,2051,0.7260812568916122,0.012195209990117072,0.8521040176478528,0.8521040176478528,3.5,321.9398844739889,29.229550425832524,0.0,
ID2054 ? ID2101,0,2054,2101,3.844689057453206,0.3960759542809215,1.960787866510094,1.960787866510094,6.5,322.31884764895256,25.943734465451783,0.0,
ID2088 ? ID2134,0,2088,2134,4.116569891588954,1.5357027184531291,2.028933190518839,2.028933190518839,2.5,321.6584460314325,30.642286060020513,0.0,
ID2100 ? ID2054,0,2100,2054,0.3719008722408039,0.23242292441090673,0.6098367586828495,0.6098367586828495,5.5,322.1069413993023,27.193069002286173,0.0,
ID2048 ? ID2181,0,2048,2181,2.7099041630129874,NaN,1.6461786546462651,1.6461786546462651,0.5,322.14870947612644,32.49077096394574,0.0,
ID2101 ? ID5446,0,2101,5446,1.31056259829453,2.286444424226816,1.144798060050125,1.144798060050125,7.5,322.05757221575993,25.247914988964446,0.0,
ID5441 ? ID5448,0,5441,5448,66.9666663719651,2.6701114888591344,8.183316343143842,8.183316343143842,9.5,322.0792501463425,29.179323126221952,0.0,
ID2051 ? ID2100,0,2051,2100,1.7478363734317883,0.09072096261109135,1.3220576286349202,1.3220576286349202,4.5,322.0837706502225,28.15310945932358,0.0,
ID2181 ? ID2088,0,2181,2088,0.1546065424634696,0.9497041759212858,0.39320038461765217,0.39320038461765217,1.5,321.64783721730225,31.68232314141487,0.0,
ID3738 ? ID3839,1,3738,3839,2.3716535684040547,0.4338144070581839,1.5400173922407678,1.5400173922407678,2.5,219.25877736944966,326.2152661398737,0.0,
ID3585 ? ID3560,1,3585,3560,0.5126944357078089,NaN,0.7160268400750135,0.7160268400750135,0.5,218.5312263658539,327.44224214147994,0.0,
ID3534 ? ID3694,1,3534,3694,6.815402690613347,0.5180493354744702,2.610632622682354,2.610632622682354,4.5,222.63376148117925,323.8714623675052,0.0,
