,Frame,T,X,Y,Z,Radius,Visibility,Manual spot color,Ellipse center x0,Ellipse center y0,Ellipse short axis,Ellipse long axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,Quality,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Spot ID,TRACK_ID,Velocity_X,Velocity_Y
0,0.0,0.0,425.25112781954886,433.76491228070176,0.0,14.549091872423544,1.0,,0.07529708597551021,-0.009381632669153622,12.716794055279461,17.284007212049666,1.2640525817503567,1.3591481576973479,665.0,104.75963030156319,0.7614538644070772,0.9582132564841499,4.062404218127357,669.0,200.85972850678732,197.0,165.0,283.0,133170.0,20.1144743074071,-0.0003951889640656974,-0.007895700215688386,3072.0,94.0,1.2441458122918903,1.1246399581041828
1,0.0,0.0,120.19069712110397,158.5837497025934,0.0,14.93238344242959,1.0,,-0.054541362330872645,-0.06068749718645768,14.014346749609965,17.31167916244186,-0.6361617529040967,1.235282633699902,700.5,100.8360042155202,0.8657385335343818,0.9688796680497926,3.8098822900115463,704.0,178.13352272727272,175.0,149.0,265.0,125406.0,15.331679048683155,-0.004084254449470024,-0.09529631891215007,1026.0,180.0,0.19454496455711023,-0.6510215834127564
2,0.0,0.0,634.9659677150939,434.5888666999501,0.0,17.854617078309644,1.0,,0.2501421188005904,-0.15275901634826347,17.51954970229714,19.113373057169227,0.539158961276892,1.0909739908819178,1001.5000000000001,121.79429248704987,0.8484122759579333,0.9574569789674952,3.8485883430252636,999.0,174.22754491017963,173.0,150.0,215.0,174576.0,10.503037939307108,-0.004498906831472258,-0.14993296740309478,3074.0,60.0,-1.0765254840182479,-0.09899286196866797
3,0.0,0.0,539.9266027561414,436.0544238066707,0.0,16.29814713457862,1.0,,0.18191989097079178,-0.2694656910849213,13.994987800069284,19.92546625663865,0.5644620883774081,1.4237573152110934,834.5,111.78059049306464,0.8392732981264108,0.9630698211194461,3.869485548157983,831.0,194.46586826347306,193.0,162.0,248.0,162379.0,13.864355607437489,0.011701963859116015,0.32447396294840464,3077.0,429.0,-0.041626230319820934,-1.310068787667774
4,0.0,0.0,253.07247037374657,162.99012458219386,0.0,13.21336340875438,1.0,,-0.26457484900418216,-1.2657802708081658,8.048931787399662,23.391171330644504,1.2311168681102587,2.9061212032213537,548.5,106.50721348310059,0.60761495003744,0.9440619621342513,4.547688469693514,548.0,191.60766423357666,191.0,158.0,239.0,105001.0,12.613988332958781,0.0016908399477946596,0.051281325835826876,1030.0,347.0,-0.6442378707809837,-0.8305753532495999
5,0.0,0.0,507.9810395120657,432.41805887032615,0.0,14.144177723236954,1.0,,-0.16725642369661217,0.6108241029406654,12.788216661583673,17.15273903679456,-0.19533674044399005,1.3412924953267402,628.5000000000001,101.58389769195857,0.7653593662911166,0.9161807580174929,4.052026074292551,627.0,198.12121212121212,196.0,160.0,265.0,124222.0,16.439004690239976,0.0050453649928275945,0.12100195220317013,3078.0,81.0,1.2053942815979894,1.1209338185446995
6,0.0,0.0,545.7850439882698,50.28260019550342,0.0,16.472983274795176,1.0,,0.26484851492648137,0.2608227718208818,14.688757206742995,19.587857363614578,1.044339015404144,1.3335272064148906,852.5,121.1072735349945,0.7304051010401528,0.944075304540421,4.147849911610035,854.0,168.76491228070176,166.0,140.0,211.0,144294.0,12.799377334479034,0.0031285731454505604,0.082245666282073,7.0,430.0,-1.1718847460782627,-0.5450169901782758
7,0.0,0.0,284.5145243282498,438.82461873638346,0.0,14.803930445578969,1.0,,0.005522454315133487,-0.2181325713308086,13.893570841105616,16.798837667517734,1.0790746313764767,1.209108720834861,688.5000000000001,99.05719552960551,0.881742455018087,0.9793741109530585,3.775148640336043,691.0,196.57664233576642,193.0,159.0,283.0,134655.0,17.368773918243587,-0.002383230824898278,-0.05407482379934019,3081.0,7.0,-0.09773197028096092,-1.1134573487514672
8,0.0,0.0,209.74441524310117,54.111257117827414,0.0,15.563862739881275,1.0,,0.049903545105799495,0.1935439254889764,12.619369106288366,20.430493692425937,1.397234402024803,1.6189790091998502,760.9999999999999,107.69803281532035,0.8244778250762109,0.9706632653061223,3.904050639516992,758.0,176.89006622516555,175.0,148.0,232.0,133552.0,12.89366197890954,0.00428859506928823,0.11716925561303054,10.0,0.0,-1.268423817592037,1.0665563869957353
9,0.0,0.0,239.72520184544405,442.6369665513264,0.0,13.564037533648712,1.0,,-0.32940363630778396,0.4882369093320553,10.540233955091507,18.506518626315636,2.0665939024936737,1.7557977085865328,578.0,96.17135950480086,0.7853191568764336,0.9475409836065574,4.000201203633766,575.0,186.88754325259515,184.0,155.0,242.0,108021.0,14.634998193264101,-0.023794892186455065,-0.6225300832487912,3083.0,109.0,-0.0940987713030097,0.4938351364373261
10,0.0,0.0,516.8310769230769,160.0671794871795,0.0,16.081877456451714,1.0,,0.20557331758175243,0.33908504316777716,16.512841256486677,16.87348779103326,-1.0824260669227606,1.0218403682894313,812.4999999999999,113.4853639394472,0.7927815312076911,0.9425754060324825,3.9813299406827567,812.0,206.64778325123152,201.0,164.0,303.0,167798.0,22.240177205521235,0.013112810280990978,0.24052513895626487,1036.0,151.0,-0.5472485402386837,1.027498730642293
11,0.0,0.0,382.8300769686205,45.297809354647725,0.0,13.38687663054658,1.0,,0.23269570739498838,0.05553920285314519,12.300587060717076,15.261682399645647,3.022697415916557,1.2407279688613455,563.0,88.10151521325862,0.9114891503042579,0.9808362369337981,3.7130361734024007,562.0,194.23487544483984,192.0,166.0,249.0,109160.0,13.3626902599243,0.010243239752719142,0.294764168929312,13.0,127.0,0.08565659439989304,0.2874619631817339
12,0.0,0.0,467.80881155881156,453.29599104599106,0.0,22.834000822655874,1.0,,0.10839136540234341,-0.6072914669091067,19.56367974975793,27.746336876795162,1.103060692897351,1.4182575687039898,1638.0,166.49618932757676,0.7425319840347534,0.9168765743073046,4.113839552191454,1636.0,192.81823708206687,191.0,162.0,270.0,317186.0,13.388965135557685,-0.004995549506546819,-0.144607006792966,3086.0,148.0,0.12487159960920735,0.998411752609627
13,0.0,0.0,309.8128536782538,161.1628940986257,0.0,14.03120324864103,1.0,,-0.27735764183900213,-0.20371693201059582,12.009858403330846,17.311867917253007,-0.6579772761818133,1.441471442531886,618.5000000000001,100.84038285243862,0.7643294548894511,0.9307750188111362,4.054755148089238,618.0,205.20259319286873,203.0,177.0,256.0,126610.0,13.412031563750201,0.006499445529535078,0.19759731636606798,1040.0,137.0,0.7318817281837369,-1.178442380131429
14,0.0,0.0,573.8185252342098,442.6048655182835,0.0,13.249449129317057,1.0,,-0.6562308671736766,-0.474516188584793,11.123669245009498,18.154612189203615,0.9302818217751941,1.6320704786640852,551.4999999999999,94.41262607255359,0.7774907405271202,0.9284511784511783,4.020289422271979,549.0,200.27504553734062,199.0,164.0,251.0,109951.0,16.93770618286235,0.006933196392048085,0.1628302476532065,3088.0,113.0,0.5897316465241147,1.4535442676492494
15,0.0,0.0,447.0767002134797,43.73269289417505,0.0,13.189251411639768,1.0,,-0.15535917310522723,-0.04723110484776094,10.017452702259163,17.680165102736883,3.0044591638477467,1.7649362196389111,546.5,94.64082921764734,0.766730883390574,0.9638447971781305,4.048400349378157,545.0,182.06238532110092,181.0,154.0,213.0,99224.0,9.44429088546073,-0.014679101243708201,-0.5743844059876088,17.0,123.0,-0.27299078534986165,-0.07839098794115529
16,0.0,0.0,101.80362116991644,451.63486536675947,0.0,15.117754405994354,1.0,,0.12844635643399957,-0.23131056591436244,14.184141471006019,16.74078867699901,1.8066469973171821,1.1802468772057206,718.0,102.00236375783594,0.8671891514738159,0.9696151249155975,3.8066944060555405,715.0,183.73119777158774,182.0,156.0,228.0,131919.0,12.521842626999309,0.016154190807658186,0.4665199885756924,3091.0,158.0,0.24958001486369596,-0.3353666198923406
17,0.0,0.0,480.0355239786856,45.06216696269982,0.0,13.38687663054658,1.0,,0.02940958888584922,0.03399698875609784,11.741889466609017,15.851623084845436,0.45311054823922925,1.3500061578610043,563.0,89.961895593126,0.8741803961989241,0.9632164242942686,3.791441858367239,563.0,182.18439716312056,182.0,160.0,216.0,102752.0,9.591739220289792,-0.006339843477857013,-0.24237313080706532,20.0,87.0,-0.8353740536481382,-2.034930580890723
18,0.0,0.0,161.7281409739037,450.2635189669088,0.0,14.042541596550759,1.0,,0.05917796608638731,-0.07557061997472395,12.867017139109324,16.04903116559053,0.058138591610500806,1.2473000534684506,619.5,97.31647438767442,0.8220125367959836,0.9350943396226415,3.9099005532306284,623.0,184.66131621187802,182.0,151.0,250.0,115044.0,14.994936858278932,-0.005711687469805506,-0.14148597190710024,3092.0,138.0,-0.5764917381836483,-1.8050850704217964
19,0.0,0.0,494.09562841530055,159.26976320582878,0.0,12.067591844650872,1.0,,-5.46713657974367e-05,0.32134818056834674,9.645916482838532,16.15844527215207,1.1421824469505073,1.675159151636888,457.5,85.24135408919912,0.7912255126036168,0.9692796610169492,3.9852428457753697,463.0,220.65141612200435,217.0,169.0,337.0,101279.0,23.005610981595527,0.027415358688174532,0.511859563157628,1045.0,351.0,-0.410813600485767,0.26690346083788086
20,0.0,0.0,121.9449135504624,463.8315239244069,0.0,16.244349652921244,1.0,,-0.34699367307251144,-1.040953636708015,13.548144024882545,21.597773530383005,1.6209007334408723,1.5941499803011023,829.0000000000001,122.8849857321819,0.6898691872686812,0.9079956188389925,4.267971965996429,827.0,179.86610373944512,178.0,148.0,230.0,149109.0,13.54738229501169,0.012658027258393429,0.3319152091278305,3093.0,118.0,-0.07974059448756066,-0.31599719484711386
21,0.0,0.0,188.08989501312337,451.2378608923885,0.0,12.716187407449045,1.0,,0.3742386235499503,-0.0694956521319717,10.554371242832937,16.230132968713843,2.4840418035203675,1.5377640785314515,507.99999999999994,90.4165666844421,0.7808678682486057,0.9372693726937267,4.011586450324792,510.0,185.513671875,183.0,156.0,251.0,94983.0,16.833820229418794,-0.0051290727266445684,-0.11363061297332797,3095.0,383.0,-0.42117851990354893,-1.2783843865543645
22,0.0,0.0,238.71621621621622,165.84807534807535,0.0,11.382096629215676,1.0,,0.5271273672600815,2.3985213021469973,8.361141176735336,18.321534874063776,1.3679912039170894,2.191272038922508,407.0000000000001,85.32829566583177,0.7024543898280481,0.9135802469135805,4.229566587317121,404.0,197.68872549019608,196.0,161.0,264.0,80657.0,17.157277102891147,0.00047444776132049565,0.010928132001550888,1048.0,164.0,-0.7804080182270638,-0.30979228543034765
23,0.0,0.0,207.26586049772172,454.31598317560463,0.0,12.302696894599675,1.0,,-0.1815789105553197,0.37166059597830686,8.99787222645789,17.999037032050893,2.00636889751756,2.00036592863871,475.5,91.19541723861377,0.7184794583323257,0.9491017964071854,4.1821321710284725,478.0,181.75,178.0,154.0,250.0,86513.0,15.054095438573658,-0.02211857312820492,-0.5461609682623031,3097.0,384.0,0.1108471525514858,-2.686201754839601
24,0.0,0.0,409.51327643432904,49.48174490279753,0.0,14.959005648344572,1.0,,0.18353630462647091,1.4392339076213394,14.417978688033557,17.896322231440212,1.9534668098744559,1.2412504289726525,702.9999999999999,108.60312801996221,0.7489977633500204,0.9177545691906004,4.096044550684881,704.0,182.5968660968661,181.0,155.0,242.0,128183.0,12.256001651024642,-0.012801147531523659,-0.38638367181792777,26.0,286.0,0.49184984724138303,-0.16078966398782768
25,0.0,0.0,476.359009009009,162.63378378378377,0.0,10.852403323135505,1.0,,-0.029875320426633014,0.2648003517100295,8.67763284699816,14.197244887835724,-1.534602250667928,1.636073470514134,370.0,76.66865904893275,0.7909988520997866,0.9635416666666666,3.985813789998799,369.0,204.37196765498652,201.0,172.0,335.0,75822.0,20.695519064790645,-0.001542925355011237,-0.030520420707480223,1051.0,191.0,0.22781472572046368,0.41944483750768313
26,0.0,0.0,257.68425681618294,455.7860598065083,0.0,15.533154661153457,1.0,,-0.18730844669137395,-0.0735435221910211,13.490605427433971,18.807696018084894,-1.064368942946968,1.3941328370510557,758.0000000000001,107.42230359213069,0.8254488125740456,0.9607097591888468,3.9017537679551024,760.0,201.38359788359787,197.0,165.0,296.0,152246.0,19.982335133042234,0.0054728967246332515,0.10971215290966335,3099.0,387.0,0.08561718152611775,-0.7944217767259261
27,0.0,0.0,616.4736748488083,458.7120241906795,0.0,17.27010027053149,1.0,,0.162708753803957,0.3668277179006608,16.97407095538502,18.447523195221116,1.1670271000208572,1.0868060610627202,937.0,117.89875646445707,0.847092830622749,0.9654817104585265,3.851584488132986,941.0,173.39079229122055,172.0,149.0,221.0,161947.0,10.027206335551181,-0.016748393150615305,-0.5890939426001733,3101.0,135.0,-0.7589380067030334,0.609554756688965
28,0.0,0.0,326.7301341589267,460.04117647058825,0.0,16.0323183942127,1.0,,0.10694691543111298,-0.23367917704571312,13.670501679817809,20.265064734642667,1.5007451951290196,1.482393639185943,807.5,113.11295437040104,0.7930995500467428,0.9472140762463344,3.980531639337293,809.0,182.53020961775584,181.0,155.0,239.0,148032.0,11.69129727324196,-0.019688687402720232,-0.6271259821626118,3103.0,144.0,1.235336877972884,-0.45212266724871597
29,0.0,0.0,265.8337982333798,58.037889353788934,0.0,18.502493955968934,1.0,,1.1518817713888698,-0.11327792785985778,17.640908975276062,21.215978146197394,-1.1819955118404246,1.20265787754655,1075.5,125.59224262246686,0.8568299682969274,0.970230040595399,3.8296369792429794,1074.0,185.1262766945218,182.0,157.0,259.0,199381.0,15.16773706112216,0.0005736759488793179,0.01399570695793444,32.0,131.0,-0.9946348461185153,-0.990593041298041
30,0.0,0.0,529.6159614954107,458.1178643384822,0.0,15.394210283864261,1.0,,0.318633897119884,-0.33222587444069446,14.49671333030318,18.06454287284147,1.0191024100510222,1.2461129954939707,744.5,111.19479692952838,0.7566684639252189,0.922552664188352,4.075229908877157,747.0,182.11898395721926,181.0,155.0,229.0,136225.0,11.697916291058874,-0.022726159354742627,-0.7240798782019394,3104.0,431.0,6.5569719572899885,1.5874475087275641
31,0.0,0.0,120.76372471762542,213.2625426845285,0.0,14.21153133140884,1.0,,-0.1644223625915147,-0.2440371856571005,11.2129600753824,18.971933609595027,0.6669283055329407,1.6919647873577237,634.4999999999998,105.4374616040208,0.7172187041600541,0.922238372093023,4.185806312176487,637.0,176.48888888888888,175.0,149.0,223.0,111188.0,12.00340586419436,-0.005469896916555651,-0.16173502590490085,2081.0,311.0,0.625729622210585,-0.32347002408181424
32,0.0,0.0,414.2622415669206,460.13474791439967,0.0,17.10341443697438,1.0,,2.488449952912766,0.42571826786409844,18.185421874999953,19.59880691534028,1.6303106529429057,1.077720772718688,919.0,129.33528573532394,0.6903849598495978,0.9180819180819181,4.266377410541828,924.0,202.814612868048,200.0,165.0,283.0,185981.0,17.19101789524513,0.01414397746841166,0.3290785583349068,3106.0,130.0,1.2809464974689035,1.0452677903509766
