,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
350,350.0,350.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,10.0,2.4966955402424156,79.09558219434851,465.32638679666206,0.0,0.4545983340252158,0.8304114770090071,0.11657071644587856,0.5002333076198948,0.2713359559085537,482.0,4.311532367058471,2.4966955402424156,0.5790738251944929,0.24966955402424157,0.5492091266889526,1.275799518655713
351,351.0,351.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,3.8172172529102517,221.15135350270708,163.87976373038896,0.0,0.8276039211676076,1.5186723574400667,0.14486249692001166,0.8469514758146329,0.4563892722309126,416.6666666666667,6.969203228360342,3.8172172529102517,0.547726494382678,0.4241352503233613,0.5124857911801324,1.280292040769462
352,352.0,352.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,9.194393059527433,237.58598692160442,472.0564461042273,0.0,1.7080148901259586,4.1406016149391975,0.38007059212793065,1.537427768866966,1.3315626196354944,685.3636363636364,17.080148901259587,9.194393059527433,0.5383087180726737,0.9194393059527434,0.5383087180726737,1.0617393990470863
353,353.0,353.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,5.856914991743713,190.9767252070492,470.301932818961,0.0,2.8407781339655602,12.112681019230873,0.07220584046302803,0.8824431217825415,4.638711028238748,478.1818181818182,28.4077813396556,12.06508996107222,0.20617291162994844,0.5856914991743712,0.20617291162994844,1.3151080913677968
354,354.0,354.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,5.743806636883576,351.6719389430878,165.45793036294376,0.0,1.6446685783167931,5.618379724690253,0.11866471231472604,0.8085532521900571,1.9572082423683737,601.9090909090909,16.446685783167933,5.743806636883576,0.34923793842781214,0.5743806636883576,0.3492379384278122,1.455814495917731
355,355.0,355.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,8.872603396180816,268.5498198080092,474.3011861101613,0.0,2.990033837869615,10.58130012954448,0.36880257191748234,1.4833718557626834,3.8380749909638423,677.1818181818181,29.900338378696155,12.155365491629532,0.2967392302992297,0.8872603396180816,0.2967392302992298,1.361572564888134
356,356.0,356.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.4692841757310866,605.3307566475793,295.01374044291657,0.0,3.3377854851001825,13.588932599846451,0.2812395253421592,1.0283262185711195,5.331310513073839,955.8181818181819,33.37785485100182,14.407435831607282,0.07397971459681664,0.24692841757310866,0.07397971459681664,1.2809767672372463
357,357.0,357.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,5.954279307717671,557.3398638597752,472.43139368561606,0.0,3.7320636631256683,9.729868265355359,0.7504349050206208,1.1562431338439907,3.8451164993840803,555.125,26.124445641879678,9.729868265355359,0.22791983375802097,0.850611329673953,0.22791983375802097,0.8207590183744452
358,358.0,358.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.860824774317892,500.9177945321148,486.3822487716004,0.0,1.6606715603883653,3.033573894398916,0.37359439415127216,1.744806375226829,0.8955232070876228,942.5454545454545,16.60671560388365,2.9231184135802826,0.17226914957517903,0.2860824774317892,0.172269149575179,1.7315297442181863
359,359.0,359.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,10.0,9.56548729246669,209.5090111063968,480.04232155397494,0.0,1.0452027251899925,1.9808070008362135,0.21757242469998356,1.025282310770482,0.5567510300207447,452.3,10.069669060129502,9.56548729246669,0.9499306516776105,0.956548729246669,0.915180094916794,0.3566252947627529
360,360.0,360.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,10.0,9.368381280600854,394.6677429392032,175.44809840715382,0.0,1.0218533328116783,1.6004346657285173,0.5586296125905992,0.974920751488091,0.34011502353039763,932.0,9.803907776240708,9.368381280600854,0.9555762349483405,0.9368381280600854,0.9168029285399798,0.3631486769384585
361,361.0,361.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.7152330068665744,92.23209167015854,480.82370127841347,0.0,2.455311684846145,7.528882234875945,0.4147290737310472,1.4735234353504978,2.6821380811344775,624.5454545454545,24.553116848461453,7.866632756517189,0.11058608255826047,0.2715233006866574,0.11058608255826047,2.425336110191524
362,362.0,362.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,12.29993004604111,576.7472239059298,488.2700361332937,0.0,1.905716729496208,3.627991538854012,0.3959776541669901,1.6983735226394048,1.206835675511757,544.25,13.340017106473452,12.29993004604111,0.9220325542215667,1.7571328637201586,0.9220325542215664,0.48171223004135094
363,363.0,363.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,1.4138873374148342,457.73079337896127,484.5222203635007,0.0,3.3261161091543467,13.535698865879697,0.09727629795691567,1.2131288562011648,5.157648485641014,624.8181818181819,33.26116109154347,11.741509772341088,0.042508658477779654,0.14138873374148342,0.04250865847777966,1.19757195027656
364,364.0,364.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,10.0,4.827836315173046,83.80461426509092,300.42590308534415,0.0,1.904329271189686,3.663646482540248,0.0764363734139264,1.9603356645555419,1.0229200504716036,989.6,17.2153998141211,6.329988114504664,0.2804370718833359,0.48278363151730463,0.2535189889801445,1.5736396762093068
365,365.0,365.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,10.0,3.601336863808992,336.8440686161965,491.28155591641524,0.0,1.0791406020045753,3.061366369316193,0.30866063504738117,0.772140018773038,0.9011787132474889,996.9,10.07180375504922,5.168956292029866,0.35756622660599013,0.3601336863808992,0.3337226731270485,0.8613643777126672
