SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
4096.0,4070.0,23.119838695862214,,4.808309338620199,4.808309338620199,0.5,890.0443854462528,615.9647386057636,0.0,
4216.0,4529.0,206.2025194097234,0.37126200943465903,14.359753459224967,14.359753459224967,2.5,903.4060413660413,622.9395286195286,0.0,
4070.0,4216.0,104.60042457586472,2.473251297680854,10.227434897170683,10.227434897170683,1.5,892.0014078208867,618.9315483273226,0.0,
1.0,25.0,11.933204355484007,,3.4544470404804306,3.4544470404804306,0.5,835.0039987056914,50.787253749289306,0.0,
25.0,17.0,193.69017516734442,1.9354536578230348,13.917261769735612,13.917261769735612,1.5,833.0064762493932,44.554837074717724,0.0,
8325.0,8677.0,55.610560050340936,0.45977567756216936,7.4572488258298675,7.4572488258298675,2.5,1228.8890305746413,1157.8929349915197,0.0,
8213.0,8325.0,147.6751048617788,2.641572747582682,12.152164616305146,12.152164616305146,1.5,1221.1306732729008,1163.4817386873551,0.0,
8194.0,8213.0,8.718328385511823,,2.952681558433253,2.952681558433253,0.5,1216.5187171839107,1164.9253152688575,0.0,
4.0,0.0,4.305060079915942,,2.074863870213162,2.074863870213162,0.5,1226.3041988655077,37.68390266493501,0.0,
4101.0,4036.0,27.048905690686883,,5.200856245916328,5.200856245916328,0.5,396.92184430177156,606.2002654322478,0.0,
8198.0,8190.0,30.16142896163946,,5.491942184841302,5.491942184841302,0.5,1328.0070587573873,1168.7973560526286,0.0,
8190.0,8186.0,47.01344941940647,2.124507042191299,6.856635429961729,6.856635429961729,1.5,1325.9328083234682,1166.5411443957187,0.0,
7.0,27.0,5.111430068152983,,2.260847201416536,2.260847201416536,0.5,1247.4543040879494,42.01774507113123,0.0,
4047.0,4408.0,156.99084809892008,2.725453063435445,12.52959888020842,12.52959888020842,2.5,1468.6995201986383,602.8554732093965,0.0,
4082.0,4047.0,145.1335160436695,3.003997714124688,12.047137255118724,12.047137255118724,1.5,1469.0002149513418,605.3870566637686,0.0,
4105.0,4082.0,18.548205644769187,,4.306762780182952,4.306762780182952,0.5,1465.1469611821567,606.0002205522514,0.0,
195.0,39.0,51.51473411888342,0.6632893488402951,7.17737654849482,7.17737654849482,2.5,1284.8458180724351,44.93466763912582,0.0,
53.0,195.0,36.40624851468657,2.6501201247167865,6.033759069989998,6.033759069989998,1.5,1286.841413394325,50.85581672207104,0.0,
12.0,53.0,30.4153712326039,,5.51501325769974,5.51501325769974,0.5,1288.120586930202,51.48850696648408,0.0,
4113.0,4063.0,11.334775262892226,1.5897831293188405,3.3667157977608126,3.3667157977608126,1.5,1016.3205030258222,604.8364901375539,0.0,
4108.0,4113.0,59.9430845713917,,7.742291945631584,7.742291945631584,0.5,1018.7572636886529,601.4255926920262,0.0,
4063.0,4248.0,132.1654824081582,1.9278567957850197,11.496324734807999,11.496324734807999,2.5,1020.7220388737117,601.7160007059636,0.0,
8205.0,8227.0,26.369632317889504,,5.135137030098565,5.135137030098565,0.5,51.08092821597581,1175.5219002969532,0.0,
8227.0,8402.0,4.314117507295801,2.781963988613466,2.077045379209564,2.077045379209564,1.5,49.64332688007991,1176.3044894007348,0.0,
15.0,8.0,14.390271753206996,,3.793451166577342,3.793451166577342,0.5,1311.0790673509132,38.97578131372214,0.0,
4167.0,4576.0,175.18362542386015,2.2442525726940863,13.235695124316672,13.235695124316672,2.5,1304.1629050161578,623.0819165888693,0.0,
4112.0,4104.0,31.394499335243765,,5.603079451091495,5.603079451091495,0.5,1302.4800713839404,612.0634173712909,0.0,
4104.0,4167.0,145.13718245028676,1.6169195253562754,12.04728942336353,12.04728942336353,1.5,1305.6379048150684,617.77348375665,0.0,
8241.0,8494.0,166.85558084020644,0.41235763270826015,12.917259029693817,12.917259029693817,1.5,966.4732549490691,1184.3893790140942,0.0,
8209.0,8241.0,6.844379148036781,,2.616176436717673,2.616176436717673,0.5,969.4054482485406,1177.2965782906317,0.0,
19.0,32.0,14.175233130995753,,3.7650010798133584,3.7650010798133584,0.5,1883.3607606922228,40.06277543499902,0.0,
4014.0,4017.0,49.68993506133796,0.19386148734102257,7.049108813271218,7.049108813271218,1.5,1815.3885338700027,599.5942711794924,0.0,
4017.0,4405.0,66.56442053284508,2.1961562891810416,8.158702135318158,8.158702135318158,2.5,1818.3790784439498,601.4072534749876,0.0,
4115.0,4014.0,98.69969747438108,,9.934772140033262,9.934772140033262,0.5,1808.3239898930526,604.2363984684625,0.0,
22.0,45.0,12.178985954531731,,3.489840390982334,3.489840390982334,0.5,1264.2670446326197,42.61964483514213,0.0,
4119.0,4109.0,34.947386492076255,,5.911631457734511,5.911631457734511,0.5,719.8210061907646,606.7140087490466,0.0,
8215.0,8238.0,43.68532407910065,,6.6094874293776105,6.6094874293776105,0.5,811.9006277817475,1168.3831275433206,0.0,
4085.0,3953.0,96.5968852895235,2.5951071097392235,9.828371446456606,9.828371446456606,1.5,1203.1867559503412,599.1713543989858,0.0,
4122.0,4085.0,6.815066653075897,,2.610568262481542,2.610568262481542,0.5,1202.8511198719284,603.0158253162799,0.0,
3953.0,4437.0,91.02633968109765,1.9822886347025135,9.540772488698053,9.540772488698053,2.5,1208.1914978005336,597.409148818538,0.0,
8219.0,8257.0,23.815741493207142,,4.880137446138904,4.880137446138904,0.5,100.52074631181941,1174.181296256551,0.0,
