TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,3.1264851959947673,608.2302048544334,442.47453142622516,0.0,0.001989199723254027,0.0038896494811153782,0.0009899586676966428,0.0010879910209500607,0.0016465675045948015,1134.0,3.5818339543410747,3.1264851959947673,0.87287273387019,0.0017363182006505681,0.87287273387019,0.0009717571151719196
1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,3.7688557621135153,796.0493301126153,25.07587567703621,0.0,0.002141255388398628,0.0023676093972584337,0.0018420714642287505,0.0022140853037087,0.00027023263530952756,689.25,3.85563157154258,3.7688557621135153,0.9774937496441478,0.0020930637585515107,0.9774937496441478,0.0007356089425118975
2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,4.050706240530954,653.9859728529985,443.24519912919885,0.0,0.002309546979150424,0.0031729408891317057,0.0018524623644104467,0.0019032376839091183,0.0007481519338424,849.5,4.158664256967842,4.050706240530954,0.9740402182609467,0.002249591643655589,0.9740402182609467,0.0008255152444661138
3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,4.965141402136896,521.7842784776142,860.4319640857289,0.0,0.003413282277522507,0.005578308319095115,0.0021049664195450252,0.00255657209392738,0.001888515353869079,1515.25,6.146094941829768,4.965141402136896,0.8078530268617544,0.0027574304194301403,0.8078530268617545,0.0019718305757462445
4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,3.0189678577868606,630.2678202246623,442.1648222298976,0.0,0.0017752259888689308,0.0029607376642341796,0.0011170209885513229,0.00124791931382129,0.0010287672439430163,824.5,3.19654414246439,3.0189678577868606,0.9444474167215391,0.0016766075992842014,0.9444474167215391,0.001289187860197024
5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,5.62117074656664,851.2437640594844,26.73712766664852,0.0,0.0031888307493424138,0.004062069388145896,0.0024929691046334133,0.0030114537552479313,0.0007994472299378077,921.0,5.741938388145925,5.62117074656664,0.9789674438463835,0.0031217614875424906,0.9789674438463836,0.0006302828513889398
6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,3.700446622620057,781.3581471740756,856.7568876647732,0.0,0.002958285463227475,0.004269454374049546,0.0021953043493074613,0.0024100976663254175,0.0011405730913837335,335.25,5.326809165993751,3.700446622620057,0.69468353517217,0.002055072203643303,0.69468353517217,0.0022003739000647686
7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,3.3394110128516776,1257.3926673335031,25.071691138387326,0.0,0.002315633587476891,0.0027814074547109027,0.0019796391756321213,0.002185854132087649,0.00041634135467796596,937.0,4.169624051560439,3.3394110128516776,0.8008901933501504,0.0018545682316024696,0.8008901933501504,0.0011102423242011668
8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,4.434914022063315,711.1668783736895,448.31971400316434,0.0,0.002655188515628933,0.0028991051293274102,0.002337966468330395,0.0027284939492289943,0.00028766197900113676,1087.0,4.781040470334751,4.434914022063315,0.9276043676226816,0.0024629644639589834,0.9276043676226817,0.0010178421058708257
9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1800.6406860351562,0.0,1800.6406860351562,5.546473533906733,1195.7954595822491,865.5581236709711,0.0,0.00321694689686435,0.004814732973728028,0.002409529939819254,0.0024265777770457685,0.0013837495863605858,1872.0,5.792565467308491,5.546473533906733,0.9575158995110841,0.0030802778016304593,0.9575158995110842,0.0005993583448855668
