,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,10.0,23.925998710496966,534.389342757461,276.0886333929679,0.0,6.4894405231517736,12.791346308225211,0.43421824392029923,8.452496180959491,4.533864013419161,905.8823529411765,103.83104837042836,23.925998710496966,0.2304320247748863,2.3925998710496965,0.36869123963981804,1.6088019852070836
1,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,141.08311251016107,531.1469343504908,0.0,3.174672849199709,12.127768816956863,1.565630582289199,2.2163349951743085,3.1941303130027854,1272.909090909091,31.74672849199709,12.127768816956863,0.0,0.0,0.0,1.2333081516854103
2,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,248.0304623780401,290.35100971456944,0.0,3.3552756518127467,12.842670726601176,0.561664472702821,2.579183633847362,3.489594777755103,1162.909090909091,33.552756518127474,12.842670726601176,0.0,0.0,0.0,1.2937019147685154
3,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,419.661126769471,531.9036114144387,0.0,2.207137444801913,10.162755787036343,0.7056845165420988,1.4180925431078923,2.8296996995551287,717.8181818181819,22.071374448019135,10.162755787036343,0.0,0.0,0.0,0.8625946522762697
4,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,312.74809667366975,290.8597909433596,0.0,1.38964614912111,5.633781741517685,0.23309480124469412,1.1761457298276101,1.531991073353649,1216.4545454545455,13.896461491211102,5.633781741517685,0.0,0.0,0.0,1.3079042137481847
5,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,15.844865210603205,180.9155854789906,537.3574282375833,0.0,4.022527977159405,10.071695303300416,0.9802230452266286,2.1024136282181143,3.6732434103881593,1302.7,36.20275179443465,15.844865210603205,0.4376701887351832,1.7605405789559117,0.4376701887351832,0.9601277009298532
6,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,629.8669028797045,286.9341977928243,0.0,2.425735304634097,9.870202650043858,0.5491921922040336,1.7120250330157911,2.705653096555008,697.0,24.257353046340967,10.53338107750096,0.0,0.0,0.0,0.6692048650085742
7,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,607.6674758070011,532.8989473363463,0.0,2.268679869812546,11.142720239092416,0.12385247823426938,1.499112121618741,3.2334269185496827,909.4545454545455,22.68679869812546,11.142720239092416,0.0,0.0,0.0,0.7647401414340134
8,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,410.43504004869993,5.626365055076676,0.0,2.089001923277351,4.269127161325599,0.15834015077625094,2.465153725516372,1.2875052225760748,498.1818181818182,20.89001923277352,6.2787313957182596,0.0,0.0,0.0,1.7639060691684811
9,9.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,19.800866175635246,572.2684692887083,284.2941983748582,0.0,2.9482461652247656,12.401385554251037,1.1573610452515823,1.835736915291994,3.365772938062622,605.9090909090909,29.482461652247657,19.800866175635246,0.6716150913445074,1.9800866175635246,0.6716150913445074,0.6877552852369276
10,10.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,503.45261922797346,9.170532497913443,0.0,1.5177844358382733,7.2052287458554565,0.3207223444973739,0.9027645615954991,2.0218377529287284,485.1818181818182,15.177844358382734,7.2052287458554565,0.0,0.0,0.0,0.7775429219047422
11,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,351.440825729802,535.9511533762652,0.0,1.7808481351629135,6.072638969458879,0.717094197440737,1.2440261434518491,1.6576226257305797,683.7272727272727,17.808481351629133,6.072638969458879,0.0,0.0,0.0,1.3890792355551453
12,12.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,379.3041278638521,534.8156029706914,0.0,1.576525434447394,7.215476626331932,0.08626694349531595,0.7601031437017742,2.2018407353626674,463.1818181818182,15.76525434447394,7.215476626331932,0.0,0.0,0.0,1.3866040868710825
13,13.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,477.46093451406324,11.20504001216773,0.0,1.5071353345286416,3.151550567425305,0.48467919238051643,1.3520324118987448,0.8670683900658277,659.5454545454545,15.071353345286415,6.699302435488822,0.0,0.0,0.0,0.8504239827601742
14,14.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,16.87891099519785,94.18919412600509,297.11023930373227,0.0,3.028890774100253,8.13467403369794,1.463314200891093,1.7831862025385856,2.251638185749676,961.0,27.260016966902274,16.87891099519785,0.6191819695377065,1.8754345550219833,0.6191819695377065,1.1110769779825966
15,15.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,531.6042172610104,14.363068088795218,0.0,1.9945197134791757,8.812133932341043,0.31706421199166684,1.3088796804677998,2.434991943488424,979.1818181818181,19.945197134791755,9.055687126951273,0.0,0.0,0.0,1.0689614049130027
16,16.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,20.93918026690171,265.21926174063685,530.2139615266484,0.0,2.4622291586934404,4.034697452228355,1.3658439787535013,2.4602662166564215,0.9389598853013301,789.7,22.160062428240963,20.93918026690171,0.9449061948587587,2.3265755852113013,0.9449061948587586,0.5182133749992959
17,17.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,465.5825088972122,295.04369354599453,0.0,1.8164313783341772,7.355870865554254,0.34114160129856064,1.217914246691958,2.032828445094999,831.4545454545455,18.164313783341772,8.659316069257388,0.0,0.0,0.0,0.6952544555223051
18,18.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,308.14972629830123,20.677392456801616,0.0,2.393391982327002,9.883935899597661,0.26521355183865836,1.7354205755228118,2.7728973567275346,757.9090909090909,23.933919823270024,9.883935899597661,0.0,0.0,0.0,1.112187389229804
19,19.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,13.684397977747414,311.1978389557005,541.7188166841332,0.0,1.771329451776213,2.614872291117991,0.3942614097390492,1.955088538691283,0.6457908309100011,1185.6666666666667,14.170635614209708,13.684397977747414,0.9656869564852324,1.7105497472184268,0.9656869564852326,0.23843396853716475
20,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,14.688319629217672,575.3130223210261,545.5309657072897,0.0,3.476649206189713,12.59278944075927,0.4272369837686198,1.7271977006974484,3.987995075089251,1102.6,31.28984285570742,16.480649356184944,0.46942772122418797,1.6320355143575191,0.469427721224188,0.7810945153818399
21,21.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,444.37357986507436,20.340496897437312,0.0,1.738433222244594,4.952154399170857,0.5476963882786242,1.4999756405123783,1.3630601871133143,1243.8181818181818,17.38433222244594,6.1093682367630615,0.0,0.0,0.0,1.3143431896562567
22,22.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,654.3732541155737,297.5205401577154,0.0,1.5662188516283968,6.7601653572634675,0.1957779041628751,0.9909379509549624,1.9020421290833847,690.7272727272727,15.662188516283969,6.7601653572634675,0.0,0.0,0.0,1.0094441915512142
23,23.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,483.0357403802777,550.3628370295593,0.0,1.347482741874384,5.926749753141568,0.3464482011508881,0.6236558139990617,1.7190959836624518,752.9090909090909,13.47482741874384,5.926749753141568,0.0,0.0,0.0,1.1935707357013061
24,24.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,322.13972912198517,29.24714125652499,0.0,1.8432284360394222,8.248731144368035,0.2320756472137309,1.1423175980498885,2.3105100081982983,656.4545454545455,18.43228436039422,8.248731144368035,0.0,0.0,0.0,0.9358759955805971
25,25.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,377.7514335508404,25.01842118874367,0.0,2.7108405877922146,11.10954477945079,0.3998996960107744,1.0859845102036385,3.4038677967670554,664.7272727272727,27.108405877922145,11.10954477945079,0.0,0.0,0.0,0.7467378397272226
26,26.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,442.65689251282146,543.7511908251867,0.0,0.78065244097131,1.4705020393522512,0.1112323754576487,0.7899263741511584,0.4768070194093127,539.0,7.8065244097131,2.0309403517396607,0.0,0.0,0.0,2.124561094203941
27,27.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,208.62422395517618,298.89326447989833,0.0,1.4652741531923321,5.712379419892101,0.5623767853422001,1.026207794860609,1.5460169204544578,1111.090909090909,14.652741531923322,5.712379419892101,0.0,0.0,0.0,1.2693560003891002
28,28.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,548.3745645411838,545.5542491458782,0.0,2.061237864573531,8.992091238062825,0.7478362964254149,1.3267285311936727,2.483556338111725,533.0,20.612378645735305,8.992091238062825,0.0,0.0,0.0,1.0156254180661715
29,29.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,26.28547079166225,281.76255335767627,20.537588664090592,0.0,3.504597429788603,13.342240703164236,0.5953746407488455,3.10393384115549,3.582223514161389,705.0909090909091,35.04597429788603,26.28547079166225,0.7500282505556647,2.628547079166225,0.7500282505556647,0.9623386129414592
30,30.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,408.1013354449207,303.4742154647008,0.0,1.3060910782282464,6.267519587947234,0.4853135036301182,0.6713124780021358,1.7668734273129063,1560.6363636363637,13.060910782282463,6.267519587947234,0.0,0.0,0.0,0.8476934433433123
31,31.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,395.84816658212935,553.5956069864925,0.0,2.6767006321451596,12.87052992177246,0.6809290932821495,1.2926395589178372,3.6905808201321073,954.3636363636364,26.767006321451596,12.87052992177246,0.0,0.0,0.0,0.7594125852804674
32,32.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,509.23146449287253,34.60937847552902,0.0,0.9612126864309658,1.4848373601854383,0.5627391956253146,1.0068219201490844,0.30207650502278305,1078.4545454545455,9.612126864309658,2.0678114583683276,0.0,0.0,0.0,1.5831592962383005
33,33.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,279.6163413856396,301.8217590897498,0.0,1.769084914061565,8.30028455235666,0.1773017479689851,1.0927629259276257,2.3360331997816957,791.3636363636364,17.69084914061565,8.30028455235666,0.0,0.0,0.0,1.155988614314661
34,34.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,356.8850577593918,35.581954617219594,0.0,2.35473511091427,10.806486649866898,0.630467415438534,1.3986368275948622,3.1283993369605847,648.6363636363636,23.547351109142703,10.806486649866898,0.0,0.0,0.0,0.6720411250574609
35,35.0,35.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,16.79241958928597,220.14400367615383,557.4532379598127,0.0,3.528109699236242,10.101552016611452,0.7752604269507994,2.873248368337874,3.1249323486099816,978.1111111111111,29.00013802084073,16.79241958928597,0.5790461954773534,1.8658243988095522,0.5288453471878899,0.47200270240314024
36,36.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,339.61872092073304,29.861764592603823,0.0,2.7513801124980235,13.032321602534621,0.19084484222668593,2.0950183704591225,3.7172597743298073,578.9090909090909,27.51380112498024,13.138185850522833,0.0,0.0,0.0,0.7506092803861986
