Frame,T,Ngrid,x_center,y_center,number_density,mean_velocity_X,mean_velocity_Y,mean_area
0.0,0.0,0.0,150.72811298163413,1481.4310220285208,16.0,-2.7718473142920628,2.401406466037891,1445.59375
0.0,0.0,1.0,303.70034743750955,1481.4310220285208,18.0,-2.670295970429553,2.9673913312943996,1131.611111111111
0.0,0.0,2.0,456.672581893385,1481.4310220285208,18.0,-2.51462542400928,1.8731652659073714,1032.4444444444443
0.0,0.0,3.0,609.6448163492603,1481.4310220285208,16.0,-2.576192300147113,1.799732601093595,1459.6875
0.0,0.0,4.0,762.6170508051357,1481.4310220285208,21.0,-2.3231830426160633,1.9782001528832385,942.2619047619048
0.0,0.0,5.0,915.5892852610111,1481.4310220285208,21.0,-2.551218456170556,2.5830234125944895,1199.7380952380952
0.0,0.0,6.0,1068.5615197168863,1481.4310220285208,17.0,-2.2349222155699757,2.796116797266891,1330.2058823529412
0.0,0.0,7.0,1221.533754172762,1481.4310220285208,20.0,-2.8302878174104307,0.22022854915736617,1106.4
0.0,0.0,8.0,1374.5059886286374,1481.4310220285208,16.0,-4.593031054208116,3.1667731334164273,1292.625
0.0,0.0,9.0,1527.4782230845128,1481.4310220285208,21.0,-3.4071171091465318,2.891728192209348,994.9285714285714
0.0,0.0,10.0,1680.4504575403882,1481.4310220285208,16.0,-2.9525408944488873,1.4587396742493723,1292.0
0.0,0.0,11.0,1833.4226919962634,1481.4310220285208,17.0,-2.5064145402985987,1.3241402293623892,1172.735294117647
0.0,0.0,12.0,150.72811298163413,1328.4587875726454,17.0,-1.7398362312915472,2.326078985338185,1349.1176470588234
0.0,0.0,13.0,303.70034743750955,1328.4587875726454,19.0,-1.8753489674300807,3.280545389298954,1231.4473684210527
0.0,0.0,14.0,456.672581893385,1328.4587875726454,20.0,-1.3225714233313313,2.6732387212192976,1183.175
0.0,0.0,15.0,609.6448163492603,1328.4587875726454,14.0,-2.0827807742213316,2.570520382877213,1550.8214285714287
0.0,0.0,16.0,762.6170508051357,1328.4587875726454,25.0,-2.2880324345955203,3.0093451517892116,1011.06
0.0,0.0,17.0,915.5892852610111,1328.4587875726454,19.0,-2.4868422942134467,2.1731809556629886,1215.5526315789473
0.0,0.0,18.0,1068.5615197168863,1328.4587875726454,17.0,-3.2883641743828917,2.7771027491417186,1246.264705882353
0.0,0.0,19.0,1221.533754172762,1328.4587875726454,20.0,-2.9126833545344084,2.0269443859834384,1137.825
0.0,0.0,20.0,1374.5059886286374,1328.4587875726454,19.0,-3.9442093486973975,2.4871176876905983,1313.6315789473683
0.0,0.0,21.0,1527.4782230845128,1328.4587875726454,20.0,-4.08014035279773,3.0885405615458352,1275.1
0.0,0.0,22.0,1680.4504575403882,1328.4587875726454,18.0,-3.5715810467413975,2.5163168759921812,1296.9722222222222
0.0,0.0,23.0,1833.4226919962634,1328.4587875726454,15.0,-2.279092802734946,2.317869733145214,1438.2333333333333
0.0,0.0,24.0,150.72811298163413,1175.48655311677,21.0,-3.0628000312908314,2.5404099279094767,1085.1666666666667
0.0,0.0,25.0,303.70034743750955,1175.48655311677,24.0,-2.2469229450067894,2.125010223680382,951.5833333333335
0.0,0.0,26.0,456.672581893385,1175.48655311677,18.0,-2.8450493864108513,2.0666813686190153,1242.6944444444443
0.0,0.0,27.0,609.6448163492603,1175.48655311677,28.0,-1.4514689033719774,2.537235855301375,882.0357142857143
0.0,0.0,28.0,762.6170508051357,1175.48655311677,20.0,-2.878526326528536,2.4017529253335637,1069.85
0.0,0.0,29.0,915.5892852610111,1175.48655311677,22.0,-1.7246999273052923,3.44991278561559,1107.1363636363637
0.0,0.0,30.0,1068.5615197168863,1175.48655311677,22.0,-1.8106259659352923,3.3983730381483754,1052.25
0.0,0.0,31.0,1221.533754172762,1175.48655311677,20.0,-2.902352593350372,2.2995831884506854,1065.875
0.0,0.0,32.0,1374.5059886286374,1175.48655311677,17.0,-3.9942320314529725,3.0390379841675816,1334.4705882352941
0.0,0.0,33.0,1527.4782230845128,1175.48655311677,18.0,-4.032483676657206,3.6665392443224314,1394.0833333333333
0.0,0.0,34.0,1680.4504575403882,1175.48655311677,17.0,-2.828013335015058,2.1946795284190728,1129.1764705882354
0.0,0.0,35.0,1833.4226919962634,1175.48655311677,17.0,-1.18766974305631,2.9932322746266276,1350.8235294117646
0.0,0.0,36.0,150.72811298163413,1022.5143186608947,20.0,-3.213854004657582,2.144108008764141,1169.5249999999999
0.0,0.0,37.0,303.70034743750955,1022.5143186608947,24.0,-2.263376690091101,0.8109206379377222,1106.2708333333333
0.0,0.0,38.0,456.672581893385,1022.5143186608947,19.0,-2.5698266625599677,2.119179709655308,1237.7368421052631
0.0,0.0,39.0,609.6448163492603,1022.5143186608947,21.0,-2.29593813741,2.421292427779268,1114.452380952381
0.0,0.0,40.0,762.6170508051357,1022.5143186608947,22.0,-2.6731400612764715,3.047587386003148,1134.4545454545455
0.0,0.0,41.0,915.5892852610111,1022.5143186608947,24.0,-1.728714132878543,3.707177962889061,950.6666666666666
0.0,0.0,42.0,1068.5615197168863,1022.5143186608947,21.0,-2.4742611445472913,3.719072846424502,1087.547619047619
0.0,0.0,43.0,1221.533754172762,1022.5143186608947,25.0,-3.483404491069532,3.8513871190065174,921.66
0.0,0.0,44.0,1374.5059886286374,1022.5143186608947,20.0,-3.4985649877670597,3.034264463503716,1106.425
0.0,0.0,45.0,1527.4782230845128,1022.5143186608947,23.0,-3.900434598667813,2.849861340386452,1099.7391304347825
0.0,0.0,46.0,1680.4504575403882,1022.5143186608947,17.0,-3.3907490750547207,0.6211541371826236,1354.5588235294117
0.0,0.0,47.0,1833.4226919962634,1022.5143186608947,20.0,-3.0916012760002674,1.041654792922151,1164.875
0.0,0.0,48.0,150.72811298163413,869.5420842050193,16.0,-2.444372414166587,3.8949713344092465,1415.875
0.0,0.0,49.0,303.70034743750955,869.5420842050193,18.0,-2.9119403301881164,2.284563873397562,1139.7777777777778
0.0,0.0,50.0,456.672581893385,869.5420842050193,17.0,-3.046476886960651,2.22403546751943,1373.2941176470588
0.0,0.0,51.0,609.6448163492603,869.5420842050193,18.0,-3.2689631414879536,1.5828045801980137,1304.0555555555557
0.0,0.0,52.0,762.6170508051357,869.5420842050193,19.0,-2.5006383468886857,3.4915253552494985,1189.2631578947367
0.0,0.0,53.0,915.5892852610111,869.5420842050193,20.0,-1.9734195516605089,3.2889094322597727,1086.125
0.0,0.0,54.0,1068.5615197168863,869.5420842050193,19.0,-2.389706810400595,2.783053019460567,1379.8947368421052
0.0,0.0,55.0,1221.533754172762,869.5420842050193,16.0,-3.5108306184791473,4.4124937971235525,1292.5
0.0,0.0,56.0,1374.5059886286374,869.5420842050193,16.0,-4.024628155800016,3.0050522430266966,1417.125
0.0,0.0,57.0,1527.4782230845128,869.5420842050193,14.0,-4.264628497282355,2.52027194709748,1345.107142857143
0.0,0.0,58.0,1680.4504575403882,869.5420842050193,20.0,-4.333429011512084,1.6934933333839186,1245.4
0.0,0.0,59.0,1833.4226919962634,869.5420842050193,21.0,-2.982197860226896,1.2876973303375616,1202.8809523809523
0.0,0.0,60.0,150.72811298163413,716.5698497491438,17.0,-1.6539325033326226,3.4868853400696556,1479.264705882353
0.0,0.0,61.0,303.70034743750955,716.5698497491438,18.0,-1.4987863134060195,2.1927070453897763,1293.111111111111
0.0,0.0,62.0,456.672581893385,716.5698497491438,20.0,-3.4316542534718137,1.0130259856553607,1140.0
0.0,0.0,63.0,609.6448163492603,716.5698497491438,19.0,-3.904900625888223,1.1158230912453386,1211.657894736842
0.0,0.0,64.0,762.6170508051357,716.5698497491438,19.0,-3.1735221776450544,2.475094209755998,1368.0263157894738
0.0,0.0,65.0,915.5892852610111,716.5698497491438,23.0,-2.1021349432203698,2.780841224395856,1001.9565217391304
0.0,0.0,66.0,1068.5615197168863,716.5698497491438,18.0,-1.6081557878013466,2.8868032752181296,1334.25
0.0,0.0,67.0,1221.533754172762,716.5698497491438,18.0,-2.413476440417311,2.1634522320854708,1285.0
0.0,0.0,68.0,1374.5059886286374,716.5698497491438,17.0,-4.106485498200808,3.032013727378853,1403.4117647058824
0.0,0.0,69.0,1527.4782230845128,716.5698497491438,19.0,-4.576397248725375,3.6655252002006566,1436.1052631578948
0.0,0.0,70.0,1680.4504575403882,716.5698497491438,15.0,-3.803807494307542,2.1429840573671224,1458.1333333333334
0.0,0.0,71.0,1833.4226919962634,716.5698497491438,20.0,-2.427163621455077,1.4181383664755174,1193.15
0.0,0.0,72.0,150.72811298163413,563.5976152932685,18.0,-1.6674000437781002,2.5389662746474073,1341.361111111111
0.0,0.0,73.0,303.70034743750955,563.5976152932685,15.0,-1.449116098133563,1.363741005271432,1427.6
0.0,0.0,74.0,456.672581893385,563.5976152932685,22.0,-3.6272590514647076,0.6869899809443532,1081.159090909091
0.0,0.0,75.0,609.6448163492603,563.5976152932685,17.0,-4.789885198922427,0.9421476922278738,1500.0588235294117
0.0,0.0,76.0,762.6170508051357,563.5976152932685,14.0,-4.300069634169238,1.664042271955426,1375.0357142857142
0.0,0.0,77.0,915.5892852610111,563.5976152932685,17.0,-4.813510647422898,2.636292132642569,1322.0
0.0,0.0,78.0,1068.5615197168863,563.5976152932685,24.0,-2.885306215253346,1.2051795407178265,1041.4583333333333
0.0,0.0,79.0,1221.533754172762,563.5976152932685,22.0,-2.2118726946662677,1.5840995440559027,1020.2727272727273
0.0,0.0,80.0,1374.5059886286374,563.5976152932685,19.0,-2.995691346655624,2.8072564286511636,1165.6315789473683
0.0,0.0,81.0,1527.4782230845128,563.5976152932685,20.0,-4.059200435172068,3.4339377095312953,1105.225
0.0,0.0,82.0,1680.4504575403882,563.5976152932685,20.0,-2.910663923316554,2.2528114433799233,1257.05
0.0,0.0,83.0,1833.4226919962634,563.5976152932685,19.0,-1.371598193715853,1.285342660963519,1067.7894736842106
0.0,0.0,84.0,150.72811298163413,410.6253808373931,17.0,-1.965455374625105,2.8283706204124464,1296.0882352941176
0.0,0.0,85.0,303.70034743750955,410.6253808373931,20.0,-2.2476915580219354,1.4531629080134905,1203.4
0.0,0.0,86.0,456.672581893385,410.6253808373931,19.0,-2.4893056154099598,0.15344743766462443,1181.3684210526317
0.0,0.0,87.0,609.6448163492603,410.6253808373931,17.0,-3.9279736119185267,1.215337098333193,1291.0882352941176
0.0,0.0,88.0,762.6170508051357,410.6253808373931,17.0,-4.612618540531578,2.4262328594660802,1373.4705882352941
0.0,0.0,89.0,915.5892852610111,410.6253808373931,16.0,-3.9459088506121347,2.212407572944226,1369.75
0.0,0.0,90.0,1068.5615197168863,410.6253808373931,23.0,-2.3064853752599377,0.9871387347379502,1041.1521739130435
0.0,0.0,91.0,1221.533754172762,410.6253808373931,29.0,-2.939602735325213,1.4528942886319474,838.4137931034483
0.0,0.0,92.0,1374.5059886286374,410.6253808373931,20.0,-2.9678920434477845,2.223452734558086,1303.875
